Country Code,Country,Item Code,Item,Element Code,Element,Unit,Y19891991,Y19891991F,Y1990,Y1990F,Y19901992,Y19901992F,Y1991,Y1991F,Y19911993,Y19911993F,Y1992,Y1992F,Y19921994,Y19921994F,Y1993,Y1993F,Y19931995,Y19931995F,Y1994,Y1994F,Y19941996,Y19941996F,Y1995,Y1995F,Y19951997,Y19951997F,Y1996,Y1996F,Y19961998,Y19961998F,Y1997,Y1997F,Y19971999,Y19971999F,Y1998,Y1998F,Y19982000,Y19982000F,Y1999,Y1999F,Y19992001,Y19992001F,Y2000,Y2000F,Y20002002,Y20002002F,Y2001,Y2001F,Y20012003,Y20012003F,Y2002,Y2002F,Y20022004,Y20022004F,Y2003,Y2003F,Y20032005,Y20032005F,Y2004,Y2004F,Y20042006,Y20042006F,Y2005,Y2005F,Y20052007,Y20052007F,Y2006,Y2006F,Y20062008,Y20062008F,Y2007,Y2007F,Y20072009,Y20072009F,Y2008,Y2008F,Y20082010,Y20082010F,Y2009,Y2009F,Y20092011,Y20092011F,Y2010,Y2010F,Y20102012,Y20102012F,Y2011,Y2011F,Y20112013,Y20112013F,Y2012,Y2012F,Y20122014,Y20122014F,Y2013,Y2013F,Y20132015,Y20132015F,Y2014,Y2014F,Y20142016,Y20142016F,Y2015,Y2015F
"2","Afghanistan","21010","Average dietary energy supply adequacy (%) (3-year average)","6121","Value","%",,"NA",,,"102.000000","",,,"95.000000","",,,"92.000000","",,,"91.000000","",,,"90.000000","",,,"91.000000","",,,"93.000000","",,,"93.000000","",,,"92.000000","",,,"89.000000","",,,"89.000000","",,,"90.000000","",,,"94.000000","",,,"96.000000","",,,"97.000000","",,,"98.000000","",,,"99.000000","",,,"101.000000","",,,"102.000000","",,,"102.000000","",,,"102.000000","",,,"101.000000","",,,"101.000000","",,,"100.000000","",,,"99.000000","",,
"2","Afghanistan","21011","Average value of food production (constant I$ per person) (3-year average)","6122","Value","I$ per person",,"NA",,,"154.000000","",,,"144.000000","",,,"137.000000","",,,"135.000000","",,,"135.000000","",,,"138.000000","",,,"143.000000","",,,"146.000000","",,,"137.000000","",,,"122.000000","",,,"115.000000","",,,"116.000000","",,,"119.000000","",,,"119.000000","",,,"114.000000","",,,"115.000000","",,,"110.000000","",,,"114.000000","",,,"113.000000","",,,"114.000000","",,,"113.000000","",,,"112.000000","",,,,"NA",,,,"NA",,,,"NA",,
"2","Afghanistan","21012","Share of dietary energy supply derived from cereals, roots and tubers (%) (3-year average)","6121","Value","%",,"NA",,,"74.000000","",,,"75.000000","",,,"75.000000","",,,"75.000000","",,,"74.000000","",,,"74.000000","",,,"74.000000","",,,"74.000000","",,,"74.000000","",,,"76.000000","",,,"77.000000","",,,"78.000000","",,,"78.000000","",,,"77.000000","",,,"76.000000","",,,"77.000000","",,,"78.000000","",,,"78.000000","",,,"77.000000","",,,"77.000000","",,,,"NA",,,,"NA",,,,"NA",,,,"NA",,,,"NA",,
"2","Afghanistan","21013","Average protein supply (g/capita/day) (3-year average)","6123","Value","g/capita/day",,"NA",,,"60.000000","",,,"57.000000","",,,"55.000000","",,,"55.000000","",,,"54.000000","",,,"55.000000","",,,"56.000000","",,,"57.000000","",,,"55.000000","",,,"53.000000","",,,"52.000000","",,,"53.000000","",,,"54.000000","",,,"54.000000","",,,"54.000000","",,,"54.000000","",,,"56.000000","",,,"57.000000","",,,"58.000000","",,,"58.000000","",,,,"NA",,,,"NA",,,,"NA",,,,"NA",,,,"NA",,
"2","Afghanistan","21014","Average supply of protein of animal origin (g/capita/day) (3-year average)","6123","Value","g/capita/day",,"NA",,,"16.000000","",,,"15.000000","",,,"15.000000","",,,"15.000000","",,,"15.000000","",,,"16.000000","",,,"17.000000","",,,"18.000000","",,,"17.000000","",,,"15.000000","",,,"13.000000","",,,"13.000000","",,,"14.000000","",,,"13.000000","",,,"13.000000","",,,"12.000000","",,,"12.000000","",,,"12.000000","",,,"12.000000","",,,"12.000000","",,,,"NA",,,,"NA",,,,"NA",,,,"NA",,,,"NA",,
"2","Afghanistan","21015","Percentage of paved roads over total roads (%)","6121","Value","%",,,,"NA",,,,"NA",,,,"NA",,,,"NA",,,,"NA",,,,"NA",,,,"NA",,,,"NA",,,,"NA",,,,"NA",,,,"NA",,,,"NA",,,,"NA",,,,"NA",,,"18.000000","",,,,"NA",,,,"NA",,,,"NA",,,,"NA",,,,"NA",,,"36.400000","",,,,"NA",,,,"NA",,,,"NA",,,,"NA",,,,"NA"
"2","Afghanistan","21017","Road density (per 100 square km of land area)","6124","Value","per 100 square km of land area",,,,"NA",,,,"NA",,,,"NA",,,,"NA",,,,"NA",,,,"NA",,,,"NA",,,,"NA",,,,"NA",,,,"NA",,,,"NA",,,,"NA",,,,"NA",,,,"NA",,,"1.500000","",,,,"NA",,,,"NA",,,,"NA",,,,"NA",,,,"NA",,,"3.500000","",,,,"NA",,,,"NA",,,,"NA",,,,"NA",,,,"NA"
"2","Afghanistan","21016","Rail-lines density (per 100 square km of land area)","6124","Value","per 100 square km of land area",,,,"NA",,,,"NA",,,,"NA",,,,"NA",,,,"NA",,,,"NA",,,,"NA",,,,"NA",,,,"NA",,,,"NA",,,,"NA",,,,"NA",,,,"NA",,,,"NA",,,,"NA",,,,"NA",,,,"NA",,,,"NA",,,,"NA",,,,"NA",,,,"NA",,,,"NA",,,,"NA",,,,"NA",,,,"NA",,,,"NA"
"2","Afghanistan","21018","Domestic food price index (index)","6125","Value","index",,,,"NA",,,,"NA",,,,"NA",,,,"NA",,,,"NA",,,,"NA",,,,"NA",,,,"NA",,,,"NA",,,,"NA",,,,"NA",,,,"NA",,,,"NA",,,,"NA",,,,"NA",,,,"NA",,,,"NA",,,,"NA",,,,"NA",,,,"NA",,,,"NA",,,,"NA",,,,"NA",,,,"NA",,,,"NA",,,,"NA"
"2","Afghanistan","22013","Gross domestic product per capita, PPP (constant 2011 international $)","6126","Value","I$",,,,"NA",,,,"NA",,,,"NA",,,,"NA",,,,"NA",,,,"NA",,,,"NA",,,,"NA",,,,"NA",,,,"NA",,,,"NA",,,,"NA",,,"1088.000000","",,,"1126.400000","",,,"1090.200000","",,,"1167.400000","",,,"1193.900000","",,,"1321.500000","",,,"1335.600000","",,,"1576.000000","",,,"1662.800000","",,,"1712.600000","",,,"1899.300000","",,,"1876.200000","",,,"1844.000000","",,,,"NA"
"2","Afghanistan","21001","Number of people undernourished (millions) (3-year average)","6132","Value","millions",,"NA",,,"3.800000","",,,"5.000000","",,,"6.000000","",,,"7.200000","",,,"8.000000","",,,"8.400000","",,,"8.500000","",,,"8.600000","",,,"8.800000","",,,"9.400000","",,,"10.000000","",,,"10.400000","",,,"10.000000","",,,"9.400000","",,,"8.700000","",,,"8.300000","",,,"7.900000","",,,"7.500000","",,,"7.200000","",,,"7.000000","",,,"7.100000","",,,"7.300000","",,,"7.700000","",,,"8.100000","",,,"8.600000","",,
"2","Afghanistan","21004","Prevalence of undernourishment (%) (3-year average)","6121","Value","%",,"NA",,,"29.500000","",,,"35.600000","",,,"39.200000","",,,"43.300000","",,,"45.400000","",,,"45.600000","",,,"45.000000","",,,"44.000000","",,,"43.800000","",,,"45.200000","",,,"46.700000","",,,"46.700000","",,,"43.600000","",,,"39.300000","",,,"35.200000","",,,"32.300000","",,,"29.900000","",,,"27.700000","",,,"26.000000","",,,"24.700000","",,,"24.300000","",,,"24.400000","",,,"25.100000","",,,"26.000000","",,,"26.800000","",,
"2","Afghanistan","21022","Share of food expenditure of the poor (%)","6121","Value","%",,,,"NA",,,,"NA",,,,"NA",,,,"NA",,,,"NA",,,,"NA",,,,"NA",,,,"NA",,,,"NA",,,,"NA",,,,"NA",,,,"NA",,,,"NA",,,,"NA",,,,"NA",,,,"NA",,,,"NA",,,,"NA",,,"49.000000","",,,,"NA",,,,"NA",,,,"NA",,,,"NA",,,,"NA",,,,"NA",,,,"NA"
"2","Afghanistan","21023","Depth of the food deficit (kcal/capita/day) (3-year average)","6128","Value","kcal/capita/day",,"NA",,,"202.000000","",,,"249.000000","",,,"279.000000","",,,"312.000000","",,,"329.000000","",,,"329.000000","",,,"322.000000","",,,"312.000000","",,,"309.000000","",,,"318.000000","",,,"326.000000","",,,"321.000000","",,,"292.000000","",,,"256.000000","",,,"224.000000","",,,"201.000000","",,,"184.000000","",,,"168.000000","",,,"158.000000","",,,"151.000000","",,,"149.000000","",,,"151.000000","",,,"158.000000","",,,"166.000000","",,,"173.000000","",,
"2","Afghanistan","21024","Prevalence of food inadequacy (%) (3-year average)","6121","Value","%",,"NA",,,"36.900000","",,,"43.600000","",,,"47.300000","",,,"51.600000","",,,"53.800000","",,,"53.900000","",,,"53.300000","",,,"52.200000","",,,"52.100000","",,,"53.700000","",,,"55.500000","",,,"55.800000","",,,"52.900000","",,,"48.800000","",,,"44.900000","",,,"42.100000","",,,"39.700000","",,,"37.200000","",,,"35.300000","",,,"33.900000","",,,"33.300000","",,,"33.500000","",,,"34.400000","",,,"35.500000","",,,"36.600000","",,
"2","Afghanistan","21035","Cereal import dependency ratio (%) (3-year average)","6121","Value","%",,"NA",,,"7.300000","",,,"6.100000","",,,"5.700000","",,,"5.700000","",,,"5.300000","",,,"6.100000","",,,"5.400000","",,,"6.300000","",,,"15.600000","",,,"29.600000","",,,"34.500000","",,,"27.400000","",,,"20.800000","",,,"18.100000","",,,"19.400000","",,,"19.000000","",,,"23.800000","",,,"24.200000","",,,"24.500000","",,,"23.600000","",,,"22.100000","",,,,"NA",,,,"NA",,,,"NA",,,,"NA",,
