Country Code,Country,Item Code,Item,Element Code,Element,Unit,Y1991,Y1991F,Y1992,Y1992F,Y1993,Y1993F,Y1994,Y1994F,Y1995,Y1995F,Y1996,Y1996F,Y1997,Y1997F,Y1998,Y1998F,Y1999,Y1999F,Y2000,Y2000F,Y2001,Y2001F,Y2002,Y2002F,Y2003,Y2003F,Y2004,Y2004F,Y2005,Y2005F,Y2006,Y2006F,Y2007,Y2007F,Y2008,Y2008F,Y2009,Y2009F,Y2010,Y2010F,Y2011,Y2011F,Y2012,Y2012F,Y2013,Y2013F,Y2014,Y2014F
"4","Algeria","515","Apples","5530","Producer Price (LCU/tonne)","LCU",,,,,,,,,"19430.000000","","23304.000000","F","30059.000000","F","51693.000000","F","56684.000000","F","56684.000000","F","52913.000000","F","78000.000000","","84000.000000","","87000.000000","","92000.000000","","84000.000000","","88000.000000","","92000.000000","","97000.000000","","102000.000000","","105000.000000","","111000.000000","","130000.000000","","130833.333333",""
"4","Algeria","515","Apples","5531","Producer Price (SLC/tonne)","SLC",,,,,,,,,"19430.000000","","23304.000000","F","30059.000000","F","51693.000000","F","56684.000000","F","56684.000000","F","52913.000000","F","78000.000000","","84000.000000","","87000.000000","","92000.000000","","84000.000000","","88000.000000","","92000.000000","","97000.000000","","102000.000000","","105000.000000","","111000.000000","","130000.000000","","130833.333333",""
"4","Algeria","515","Apples","5532","Producer Price (USD/tonne)","USD",,,,,,,,,"407.656045","","425.652154","F","520.886854","F","880.046225","F","851.445041","F","753.177759","F","685.268229","F","978.892321","","1085.341781","","1207.408290","","1255.575496","","1155.106628","","1270.732743","","1424.527893","","1335.352423","","1371.336381","","1439.934174","","1432.997676","","1638.295553","","1625.649717",""
"4","Algeria","526","Apricots","5530","Producer Price (LCU/tonne)","LCU",,,,,,,,,"29020.000000","","34806.000000","F","40807.000000","F","59544.000000","F","53209.000000","F","43074.000000","F","32000.000000","",,,,,,,,,,,,,,,,,,,,,,,,,,
"4","Algeria","526","Apricots","5531","Producer Price (SLC/tonne)","SLC",,,,,,,,,"29020.000000","","34806.000000","F","40807.000000","F","59544.000000","F","53209.000000","F","43074.000000","F","32000.000000","",,,,,,,,,,,,,,,,,,,,,,,,,,
"4","Algeria","526","Apricots","5532","Producer Price (USD/tonne)","USD",,,,,,,,,"608.861473","","635.738452","F","707.136959","F","1013.705384","F","799.247393","F","572.337499","F","414.427141","",,,,,,,,,,,,,,,,,,,,,,,,,,
"4","Algeria","366","Artichokes","5530","Producer Price (LCU/tonne)","LCU",,,,,,,,,"7310.000000","","9304.000000","F","10633.000000","F","15540.000000","F","15540.000000","F","14245.000000","F","17000.000000","",,,,,,,,,,,,,,,,,,,,,,,,,,
"4","Algeria","366","Artichokes","5531","Producer Price (SLC/tonne)","SLC",,,,,,,,,"7310.000000","","9304.000000","F","10633.000000","F","15540.000000","F","15540.000000","F","14245.000000","F","17000.000000","",,,,,,,,,,,,,,,,,,,,,,,,,,
"4","Algeria","366","Artichokes","5532","Producer Price (USD/tonne)","USD",,,,,,,,,"153.369310","","169.939394","F","184.257291","F","264.560353","F","233.424881","F","189.277701","F","220.164419","",,,,,,,,,,,,,,,,,,,,,,,,,,
"4","Algeria","44","Barley","5530","Producer Price (LCU/tonne)","LCU","2300.000000","","4700.000000","","4700.000000","","6000.000000","","10000.000000","","10000.000000","","10000.000000","","10000.000000","","10000.000000","","10000.000000","","10000.000000","","10000.000000","","14000.000000","","14000.000000","","14000.000000","","15000.000000","","15000.000000","","25000.000000","","25000.000000","","25000.000000","","25000.000000","","25000.000000","","25000.000000","","25000.000000",""
"4","Algeria","44","Barley","5531","Producer Price (SLC/tonne)","SLC","2300.000000","","4700.000000","","4700.000000","","6000.000000","","10000.000000","","10000.000000","","10000.000000","","10000.000000","","10000.000000","","10000.000000","","10000.000000","","10000.000000","","14000.000000","","14000.000000","","14000.000000","","15000.000000","","15000.000000","","25000.000000","","25000.000000","","25000.000000","","25000.000000","","25000.000000","","25000.000000","","25000.000000",""
"4","Algeria","44","Barley","5532","Producer Price (USD/tonne)","USD","124.506845","","215.240197","","201.324372","","171.142519","","209.807537","","182.651971","","173.288151","","170.244757","","150.209061","","132.873079","","129.508482","","125.499015","","180.890297","","194.295587","","191.065836","","206.269041","","216.602172","","387.099971","","344.162996","","336.111858","","342.841470","","322.747224","","315.056837","","310.633704",""
"4","Algeria","176","Beans, dry","5530","Producer Price (LCU/tonne)","LCU","9000.000000","","29700.000000","","29700.000000","","29700.000000","","30000.000000","","30000.000000","","30000.000000","","30000.000000","","30000.000000","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4","Algeria","176","Beans, dry","5531","Producer Price (SLC/tonne)","SLC","9000.000000","","29700.000000","","29700.000000","","29700.000000","","30000.000000","","30000.000000","","30000.000000","","30000.000000","","30000.000000","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4","Algeria","176","Beans, dry","5532","Producer Price (USD/tonne)","USD","487.200696","","1360.134859","","1272.198689","","847.155469","","629.422612","","547.955914","","519.864454","","510.734272","","450.627183","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4","Algeria","414","Beans, green","5530","Producer Price (LCU/tonne)","LCU",,,,,,,,,,,,,,,,,,,,,,,"50000.000000","","47000.000000","","47000.000000","","48000.000000","","57000.000000","","67000.000000","","75000.000000","","91000.000000","","94000.000000","","99000.000000","","121000.000000","","127000.000000","","127500.000000",""
"4","Algeria","414","Beans, green","5531","Producer Price (SLC/tonne)","SLC",,,,,,,,,,,,,,,,,,,,,,,"50000.000000","","47000.000000","","47000.000000","","48000.000000","","57000.000000","","67000.000000","","75000.000000","","91000.000000","","94000.000000","","99000.000000","","121000.000000","","127000.000000","","127500.000000",""
"4","Algeria","414","Beans, green","5532","Producer Price (USD/tonne)","USD",,,,,,,,,,,,,,,,,,,,,,,"627.495077","","607.274568","","652.278042","","655.082868","","783.822355","","967.489702","","1161.299913","","1252.753304","","1263.780586","","1357.652222","","1562.096566","","1600.488732","","1584.231890",""
"4","Algeria","181","Broad beans, horse beans, dry","5530","Producer Price (LCU/tonne)","LCU","4000.000000","","12900.000000","","12900.000000","","12900.000000","","23000.000000","","25000.000000","","25000.000000","","25000.000000","","25000.000000","","25000.000000","F","22500.000000","",,,,,,,,,,,,,,,,,,,,,,,,,,
"4","Algeria","181","Broad beans, horse beans, dry","5531","Producer Price (SLC/tonne)","SLC","4000.000000","","12900.000000","","12900.000000","","12900.000000","","23000.000000","","25000.000000","","25000.000000","","25000.000000","","25000.000000","","25000.000000","F","22500.000000","",,,,,,,,,,,,,,,,,,,,,,,,,,
"4","Algeria","181","Broad beans, horse beans, dry","5532","Producer Price (USD/tonne)","USD","216.533643","","590.765646","","552.571148","","367.956416","","482.557336","","456.629929","","433.220378","","425.611894","","375.522652","","332.182697","F","291.394084","",,,,,,,,,,,,,,,,,,,,,,,,,,
"4","Algeria","358","Cabbages and other brassicas","5530","Producer Price (LCU/tonne)","LCU",,,,,,,,,,,,,,,,,,,,,,,"19000.000000","","24000.000000","","22000.000000","","27000.000000","","35000.000000","","26000.000000","","33000.000000","","43000.000000","","33000.000000","","37000.000000","","38000.000000","","39000.000000","","39833.333333",""
"4","Algeria","358","Cabbages and other brassicas","5531","Producer Price (SLC/tonne)","SLC",,,,,,,,,,,,,,,,,,,,,,,"19000.000000","","24000.000000","","22000.000000","","27000.000000","","35000.000000","","26000.000000","","33000.000000","","43000.000000","","33000.000000","","37000.000000","","38000.000000","","39000.000000","","39833.333333",""
"4","Algeria","358","Cabbages and other brassicas","5532","Producer Price (USD/tonne)","USD",,,,,,,,,,,,,,,,,,,,,,,"238.448129","","310.097652","","305.321636","","368.484113","","481.294428","","375.443765","","510.971962","","591.960352","","443.667653","","507.405376","","490.575781","","491.488666","","494.943035",""
"4","Algeria","426","Carrots and turnips","5530","Producer Price (LCU/tonne)","LCU",,,,,,,,,"11700.000000","","13500.000000","","13500.000000","","20150.000000","F","21775.000000","F","21125.000000","F","26000.000000","","17000.000000","","19000.000000","","15000.000000","","21000.000000","","23000.000000","","21000.000000","","24000.000000","","30000.000000","","26000.000000","","31000.000000","","39000.000000","","40000.000000","","37083.333333",""
"4","Algeria","426","Carrots and turnips","5531","Producer Price (SLC/tonne)","SLC",,,,,,,,,"11700.000000","","13500.000000","","13500.000000","","20150.000000","F","21775.000000","F","21125.000000","F","26000.000000","","17000.000000","","19000.000000","","15000.000000","","21000.000000","","23000.000000","","21000.000000","","24000.000000","","30000.000000","","26000.000000","","31000.000000","","39000.000000","","40000.000000","","37083.333333",""
"4","Algeria","426","Carrots and turnips","5532","Producer Price (USD/tonne)","USD",,,,,,,,,"245.474819","","246.580161","","233.939004","","343.043186","F","327.080230","F","280.694379","F","336.722052","","213.348326","","245.493974","","208.173843","","286.598755","","316.279196","","303.243041","","371.615972","","412.995595","","349.556332","","425.123423","","503.485670","","504.090939","","460.773328",""
"4","Algeria","393","Cauliflowers and broccoli","5530","Producer Price (LCU/tonne)","LCU",,,,,,,,,,,,,,,,,,,,,"39000.000000","","30000.000000","","32000.000000","","27000.000000","","36000.000000","","33000.000000","","37000.000000","","41000.000000","","52000.000000","","51000.000000","","48000.000000","","55000.000000","","56000.000000","","53166.666667",""
"4","Algeria","393","Cauliflowers and broccoli","5531","Producer Price (SLC/tonne)","SLC",,,,,,,,,,,,,,,,,,,,,"39000.000000","","30000.000000","","32000.000000","","27000.000000","","36000.000000","","33000.000000","","37000.000000","","41000.000000","","52000.000000","","51000.000000","","48000.000000","","55000.000000","","56000.000000","","53166.666667",""
"4","Algeria","393","Cauliflowers and broccoli","5532","Producer Price (USD/tonne)","USD",,,,,,,,,,,,,,,,,,,,,"505.083078","","376.497046","","413.463536","","374.712917","","491.312151","","453.791890","","534.285358","","634.843952","","715.859031","","685.668190","","658.255623","","710.043894","","705.727315","","660.614344",""
"4","Algeria","191","Chick peas","5530","Producer Price (LCU/tonne)","LCU","9900.000000","","17200.000000","","17200.000000","","19000.000000","","45500.000000","","45000.000000","","45000.000000","","45000.000000","","45000.000000","","45000.000000","F","45000.000000","",,,,,,,,,,,,,,,,,,,,,,,,,,
"4","Algeria","191","Chick peas","5531","Producer Price (SLC/tonne)","SLC","9900.000000","","17200.000000","","17200.000000","","19000.000000","","45500.000000","","45000.000000","","45000.000000","","45000.000000","","45000.000000","","45000.000000","F","45000.000000","",,,,,,,,,,,,,,,,,,,,,,,,,,
"4","Algeria","191","Chick peas","5532","Producer Price (USD/tonne)","USD","535.920766","","787.687528","","736.761530","","541.951310","","954.624294","","821.933872","","779.796681","","766.101409","","675.940774","","597.928854","F","582.788167","",,,,,,,,,,,,,,,,,,,,,,,,,,
"4","Algeria","689","Chillies and peppers, dry","5530","Producer Price (LCU/tonne)","LCU",,,,,,,,,,,,,,,,,,,,,,,"46000.000000","","54000.000000","","46000.000000","","62000.000000","","69000.000000","","67000.000000","","68000.000000","","74000.000000","",,,,,,,,,,
"4","Algeria","689","Chillies and peppers, dry","5531","Producer Price (SLC/tonne)","SLC",,,,,,,,,,,,,,,,,,,,,,,"46000.000000","","54000.000000","","46000.000000","","62000.000000","","69000.000000","","67000.000000","","68000.000000","","74000.000000","",,,,,,,,,,
"4","Algeria","689","Chillies and peppers, dry","5532","Producer Price (USD/tonne)","USD",,,,,,,,,,,,,,,,,,,,,,,"577.295471","","697.719716","","638.399785","","846.148704","","948.837587","","967.489702","","1052.911921","","1018.722467","",,,,,,,,,,
"4","Algeria","401","Chillies and peppers, green","5530","Producer Price (LCU/tonne)","LCU",,,,,,,,,,,,,,,,,,,,,,,"51000.000000","","55000.000000","","57000.000000","","56000.000000","","61000.000000","","57000.000000","","62000.000000","","70000.000000","","70000.000000","","71000.000000","","73000.000000","","77000.000000","","78833.333333",""
"4","Algeria","401","Chillies and peppers, green","5531","Producer Price (SLC/tonne)","SLC",,,,,,,,,,,,,,,,,,,,,,,"51000.000000","","55000.000000","","57000.000000","","56000.000000","","61000.000000","","57000.000000","","62000.000000","","70000.000000","","70000.000000","","71000.000000","","73000.000000","","77000.000000","","78833.333333",""
"4","Algeria","401","Chillies and peppers, green","5532","Producer Price (USD/tonne)","USD",,,,,,,,,,,,,,,,,,,,,,,"640.044979","","710.640452","","791.060604","","764.263346","","838.827432","","823.088254","","960.007928","","963.656388","","941.113202","","973.669775","","942.421895","","970.375058","","979.531613",""
"4","Algeria","397","Cucumbers and gherkins","5530","Producer Price (LCU/tonne)","LCU",,,,,,,,,,,,,,,,,,,,,"14000.000000","",,,,,,,,,,,,,,,,,,,,,,,,,,
"4","Algeria","397","Cucumbers and gherkins","5531","Producer Price (SLC/tonne)","SLC",,,,,,,,,,,,,,,,,,,,,"14000.000000","",,,,,,,,,,,,,,,,,,,,,,,,,,
"4","Algeria","397","Cucumbers and gherkins","5532","Producer Price (USD/tonne)","USD",,,,,,,,,,,,,,,,,,,,,"181.311874","",,,,,,,,,,,,,,,,,,,,,,,,,,
"4","Algeria","577","Dates","5530","Producer Price (LCU/tonne)","LCU",,,,,,,,,,,,,,,,,,,,,,,"102000.000000","","92000.000000","","106000.000000","","115000.000000","","129000.000000","","137000.000000","","159000.000000","","184000.000000","","214000.000000","","238000.000000","","263000.000000","","298000.000000","","342750.000000",""
"4","Algeria","577","Dates","5531","Producer Price (SLC/tonne)","SLC",,,,,,,,,,,,,,,,,,,,,,,"102000.000000","","92000.000000","","106000.000000","","115000.000000","","129000.000000","","137000.000000","","159000.000000","","184000.000000","","214000.000000","","238000.000000","","263000.000000","","298000.000000","","342750.000000",""
"4","Algeria","577","Dates","5532","Producer Price (USD/tonne)","USD",,,,,,,,,,,,,,,,,,,,,,,"1280.089958","","1188.707665","","1471.095158","","1569.469370","","1773.913751","","1978.299838","","2461.955815","","2533.039648","","2877.117505","","3263.850795","","3395.300800","","3755.477497","","4258.788082",""
"4","Algeria","399","Eggplants (aubergines)","5530","Producer Price (LCU/tonne)","LCU",,,,,,,,,,,,,,,,,,,,,"10000.000000","",,,,,,,,,,,,,,,,,,,,,,,,,,
"4","Algeria","399","Eggplants (aubergines)","5531","Producer Price (SLC/tonne)","SLC",,,,,,,,,,,,,,,,,,,,,"10000.000000","",,,,,,,,,,,,,,,,,,,,,,,,,,
"4","Algeria","399","Eggplants (aubergines)","5532","Producer Price (USD/tonne)","USD",,,,,,,,,,,,,,,,,,,,,"129.508482","",,,,,,,,,,,,,,,,,,,,,,,,,,
"4","Algeria","1062","Eggs, hen, in shell","5530","Producer Price (LCU/tonne)","LCU",,,,,,,,,"76000.000000","*","90000.000000","*","108000.000000","*","114000.000000","*","133000.000000","*","133000.000000","*","90000.000000","*","100000.000000","","118000.000000","","112000.000000","","100000.000000","","109000.000000","","105400.000000","","135200.000000","","164400.000000","","131400.000000","","157600.000000","","173000.000000","","174200.000000","","188333.333333",""
"4","Algeria","1062","Eggs, hen, in shell","5531","Producer Price (SLC/tonne)","SLC",,,,,,,,,"76000.000000","*","90000.000000","*","108000.000000","*","114000.000000","*","133000.000000","*","133000.000000","*","90000.000000","*","100000.000000","","118000.000000","","112000.000000","","100000.000000","","109000.000000","","105400.000000","","135200.000000","","164400.000000","","131400.000000","","157600.000000","","173000.000000","","174200.000000","","188333.333333",""
"4","Algeria","1062","Eggs, hen, in shell","5532","Producer Price (USD/tonne)","USD",,,,,,,,,"1594.537283","*","1643.867743","*","1871.512034","*","1940.790235","*","1997.780511","*","1767.211947","*","1165.576335","*","1254.990155","","1524.646787","","1554.364695","","1364.755974","","1498.888363","","1521.991262","","2093.436643","","2263.215859","","1766.603926","","2161.272628","","2233.410793","","2195.316040","","2340.107237",""
"4","Algeria","512","Fruit, citrus nes","5530","Producer Price (LCU/tonne)","LCU",,,,,,,,,,,,,,,,,,,,,,,"39000.000000","","44000.000000","","52000.000000","","55000.000000","","52000.000000","","58000.000000","","68000.000000","","82000.000000","",,,,,,,,,,
"4","Algeria","512","Fruit, citrus nes","5531","Producer Price (SLC/tonne)","SLC",,,,,,,,,,,,,,,,,,,,,,,"39000.000000","","44000.000000","","52000.000000","","55000.000000","","52000.000000","","58000.000000","","68000.000000","","82000.000000","",,,,,,,,,,
"4","Algeria","512","Fruit, citrus nes","5532","Producer Price (USD/tonne)","USD",,,,,,,,,,,,,,,,,,,,,,,"489.446160","","568.512361","","721.669323","","750.615786","","715.066008","","837.528399","","1052.911921","","1128.854626","",,,,,,,,,,
"4","Algeria","406","Garlic","5530","Producer Price (LCU/tonne)","LCU","18000.000000","","36000.000000","","36000.000000","","36000.000000","","60000.000000","","72201.000000","F","96268.000000","F","59670.000000","","72260.000000","","87500.000000","","94756.000000","F","106000.000000","","79000.000000","","87000.000000","","111000.000000","","111000.000000","","98000.000000","","91000.000000","","158000.000000","","328000.000000","","301000.000000","","173000.000000","","177000.000000","","178000.000000",""
"4","Algeria","406","Garlic","5531","Producer Price (SLC/tonne)","SLC","18000.000000","","36000.000000","","36000.000000","","36000.000000","","60000.000000","","72201.000000","F","96268.000000","F","59670.000000","","72260.000000","","87500.000000","","94756.000000","F","106000.000000","","79000.000000","","87000.000000","","111000.000000","","111000.000000","","98000.000000","","91000.000000","","158000.000000","","328000.000000","","301000.000000","","173000.000000","","177000.000000","","178000.000000",""
"4","Algeria","406","Garlic","5532","Producer Price (USD/tonne)","USD","974.401393","","1648.648314","","1542.059017","","1026.855114","","1258.845224","","1318.765499","F","1668.210375","F","1015.850468","","1085.410675","","1162.639439","","1227.170569","F","1330.289564","","1020.738103","","1207.408290","","1514.879131","","1526.390902","","1415.134191","","1409.043894","","2175.110132","","4409.787577","","4127.811300","","2233.410793","","2230.602406","","2211.711972",""
"4","Algeria","560","Grapes","5530","Producer Price (LCU/tonne)","LCU",,,,,,,,,"20100.000000","","24108.000000","F","28264.000000","F","41242.000000","F","36854.000000","F","29834.000000","F","22630.000000","F","52000.000000","","69000.000000","","101000.000000","","61000.000000","","52000.000000","","70000.000000","","64000.000000","","78000.000000","","88000.000000","","108000.000000","","134000.000000","","107000.000000","","133250.000000",""
"4","Algeria","560","Grapes","5531","Producer Price (SLC/tonne)","SLC",,,,,,,,,"20100.000000","","24108.000000","F","28264.000000","F","41242.000000","F","36854.000000","F","29834.000000","F","22630.000000","F","52000.000000","","69000.000000","","101000.000000","","61000.000000","","52000.000000","","70000.000000","","64000.000000","","78000.000000","","88000.000000","","108000.000000","","134000.000000","","107000.000000","","133250.000000",""
"4","Algeria","560","Grapes","5532","Producer Price (USD/tonne)","USD",,,,,,,,,"421.713150","","440.337373","F","489.781631","F","702.123429","F","553.580473","F","396.413543","F","293.077694","F","652.594880","","891.530749","","1401.703877","","832.501144","","715.066008","","1010.810136","","990.975925","","1073.788546","","1183.113740","","1481.075151","","1729.925123","","1348.443263","","1655.677642",""
