Country Code,Country,Item Code,Item,Months Code,Months,Unit,Y2010,Y2010F,Y2011,Y2011F,Y2012,Y2012F,Y2013,Y2013F
"4","Algeria","515","Apples","7001","January","LCU/tonne",,,"96000.000000","","110000.000000","","131000.000000",""
"4","Algeria","515","Apples","7002","February","LCU/tonne",,,"102000.000000","",,,"132000.000000",""
"4","Algeria","515","Apples","7003","March","LCU/tonne",,,"103000.000000","",,,"134000.000000",""
"4","Algeria","515","Apples","7004","April","LCU/tonne",,,"108000.000000","",,,"133000.000000",""
"4","Algeria","515","Apples","7005","May","LCU/tonne",,,"112000.000000","",,,"140000.000000",""
"4","Algeria","515","Apples","7006","June","LCU/tonne",,,"115000.000000","",,,"149000.000000",""
"4","Algeria","515","Apples","7007","July","LCU/tonne",,,"101000.000000","",,,"133000.000000",""
"4","Algeria","515","Apples","7008","August","LCU/tonne",,,"103000.000000","",,,"122000.000000",""
"4","Algeria","515","Apples","7009","September","LCU/tonne",,,"102000.000000","",,,"112000.000000",""
"4","Algeria","515","Apples","7010","October","LCU/tonne",,,"97000.000000","",,,"119000.000000",""
"4","Algeria","515","Apples","7011","November","LCU/tonne",,,"106000.000000","",,,"128000.000000",""
"4","Algeria","515","Apples","7012","December","LCU/tonne",,,"109000.000000","",,,"130000.000000",""
"4","Algeria","414","Beans, green","7001","January","LCU/tonne",,,,,,,"180000.000000",""
"4","Algeria","414","Beans, green","7002","February","LCU/tonne",,,,,,,"216000.000000",""
"4","Algeria","414","Beans, green","7003","March","LCU/tonne",,,,,,,"219000.000000",""
"4","Algeria","414","Beans, green","7004","April","LCU/tonne",,,,,,,"194000.000000",""
"4","Algeria","414","Beans, green","7005","May","LCU/tonne",,,,,,,"136000.000000",""
"4","Algeria","414","Beans, green","7006","June","LCU/tonne",,,,,,,"78000.000000",""
"4","Algeria","414","Beans, green","7007","July","LCU/tonne",,,,,,,"72000.000000",""
"4","Algeria","414","Beans, green","7008","August","LCU/tonne",,,,,,,"77000.000000",""
"4","Algeria","414","Beans, green","7009","September","LCU/tonne",,,,,,,"72000.000000",""
"4","Algeria","414","Beans, green","7010","October","LCU/tonne",,,,,,,"84000.000000",""
"4","Algeria","414","Beans, green","7011","November","LCU/tonne",,,,,,,"81000.000000",""
"4","Algeria","414","Beans, green","7012","December","LCU/tonne",,,,,,,"119000.000000",""
"4","Algeria","358","Cabbages and other brassicas","7001","January","LCU/tonne",,,"27000.000000","","32000.000000","","44000.000000",""
"4","Algeria","358","Cabbages and other brassicas","7002","February","LCU/tonne",,,"33000.000000","",,,"40000.000000",""
"4","Algeria","358","Cabbages and other brassicas","7003","March","LCU/tonne",,,"34000.000000","",,,"38000.000000",""
"4","Algeria","358","Cabbages and other brassicas","7004","April","LCU/tonne",,,"34000.000000","",,,"36000.000000",""
"4","Algeria","358","Cabbages and other brassicas","7005","May","LCU/tonne",,,"34000.000000","",,,"33000.000000",""
"4","Algeria","358","Cabbages and other brassicas","7006","June","LCU/tonne",,,"34000.000000","",,,"37000.000000",""
"4","Algeria","358","Cabbages and other brassicas","7007","July","LCU/tonne",,,"33000.000000","",,,"40000.000000",""
"4","Algeria","358","Cabbages and other brassicas","7008","August","LCU/tonne",,,"45000.000000","",,,"40000.000000",""
"4","Algeria","358","Cabbages and other brassicas","7009","September","LCU/tonne",,,"53000.000000","",,,"44000.000000",""
"4","Algeria","358","Cabbages and other brassicas","7010","October","LCU/tonne",,,"50000.000000","",,,"42000.000000",""
"4","Algeria","358","Cabbages and other brassicas","7011","November","LCU/tonne",,,"35000.000000","",,,"37000.000000",""
"4","Algeria","358","Cabbages and other brassicas","7012","December","LCU/tonne",,,"28000.000000","",,,"39000.000000",""
"4","Algeria","426","Carrots and turnips","7001","January","LCU/tonne",,,"26000.000000","","24000.000000","","43000.000000",""
"4","Algeria","426","Carrots and turnips","7002","February","LCU/tonne",,,"25000.000000","",,,"42000.000000",""
"4","Algeria","426","Carrots and turnips","7003","March","LCU/tonne",,,"26000.000000","",,,"40000.000000",""
"4","Algeria","426","Carrots and turnips","7004","April","LCU/tonne",,,"26000.000000","",,,"37000.000000",""
"4","Algeria","426","Carrots and turnips","7005","May","LCU/tonne",,,"33000.000000","",,,"41000.000000",""
"4","Algeria","426","Carrots and turnips","7006","June","LCU/tonne",,,"31000.000000","",,,"44000.000000",""
"4","Algeria","426","Carrots and turnips","7007","July","LCU/tonne",,,"32000.000000","",,,"38000.000000",""
"4","Algeria","426","Carrots and turnips","7008","August","LCU/tonne",,,"41000.000000","",,,"41000.000000",""
"4","Algeria","426","Carrots and turnips","7009","September","LCU/tonne",,,"42000.000000","",,,"37000.000000",""
"4","Algeria","426","Carrots and turnips","7010","October","LCU/tonne",,,"34000.000000","",,,"42000.000000",""
"4","Algeria","426","Carrots and turnips","7011","November","LCU/tonne",,,"32000.000000","",,,"38000.000000",""
"4","Algeria","426","Carrots and turnips","7012","December","LCU/tonne",,,"24000.000000","",,,"36000.000000",""
"4","Algeria","393","Cauliflowers and broccoli","7001","January","LCU/tonne",,,"33000.000000","","41000.000000","","57000.000000",""
"4","Algeria","393","Cauliflowers and broccoli","7002","February","LCU/tonne",,,"52000.000000","",,,"41000.000000",""
"4","Algeria","393","Cauliflowers and broccoli","7003","March","LCU/tonne",,,"56000.000000","",,,"45000.000000",""
"4","Algeria","393","Cauliflowers and broccoli","7004","April","LCU/tonne",,,"50000.000000","",,,"48000.000000",""
"4","Algeria","393","Cauliflowers and broccoli","7005","May","LCU/tonne",,,"46000.000000","",,,"48000.000000",""
"4","Algeria","393","Cauliflowers and broccoli","7006","June","LCU/tonne",,,"47000.000000","",,,"55000.000000",""
"4","Algeria","393","Cauliflowers and broccoli","7007","July","LCU/tonne",,,"45000.000000","",,,"81000.000000",""
"4","Algeria","393","Cauliflowers and broccoli","7008","August","LCU/tonne",,,,,,,"71000.000000",""
"4","Algeria","393","Cauliflowers and broccoli","7009","September","LCU/tonne",,,"75000.000000","",,,"59000.000000",""
"4","Algeria","393","Cauliflowers and broccoli","7010","October","LCU/tonne",,,"59000.000000","",,,"52000.000000",""
"4","Algeria","393","Cauliflowers and broccoli","7011","November","LCU/tonne",,,"37000.000000","",,,"53000.000000",""
"4","Algeria","393","Cauliflowers and broccoli","7012","December","LCU/tonne",,,"29000.000000","",,,"65000.000000",""
"4","Algeria","401","Chillies and peppers, green","7001","January","LCU/tonne",,,"97000.000000","","97000.000000","","118000.000000",""
"4","Algeria","401","Chillies and peppers, green","7002","February","LCU/tonne",,,"99000.000000","",,,"101000.000000",""
"4","Algeria","401","Chillies and peppers, green","7003","March","LCU/tonne",,,"96000.000000","",,,"102000.000000",""
