"Sector(s):","Total Bilateral Aid To All Sectors","","Flow(s):","ODA","","Donor(s):","All Donors, Total","","Flow Type(s):","Net Disbursements","","Amount:","Current Prices (USD millions)","",

"","Time Period","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014",
"Recipient(s)",
"All Recipients","","4254.86","5219.89","5440.11","5962.44","5835.85","6243.7","6416.38","6624.13","6996.89","7555.38","8129.32","9005.81","10850.26","12977.76","18087.73","22963.61","22630.57","24699.97","32550.66","35427.99","43969.95","40824.95","40054.37","38434.76","39671.94","40091.4","48734.15","53665.88","59780.64","59533.56","74666.21","77816.42","81131.1","73769.53","78938.12","78481.45","73422.61","65503.61","68958.32","68907.67","68285.97","70413.66","80101.05","92086.58","106369.16","134835.8","136052.95","140289.69","164329.69","164857.81","170597.05","183230.78","172754.52","193643.65","204999.22"
"All Developing Countries, Total","","4254.86","5219.89","5440.11","5962.44","5835.85","6243.7","6416.38","6624.13","6304.1","6175.38","6838.55","7765.19","8247.68","10930.95","14642.24","18792.68","18105.6","18954.54","25395.7","28744.74","34546.33","33290.66","30298.1","29134.91","30286.33","32276.68","37742.6","41628.7","44723.86","46400.38","58540.12","61864.49","60746.32","56005.11","60174.56","59145.4","56399.68","49048.18","51753.01","53002.11","49776.55","52390.28","62035.8","71746.17","80124.41","108652.11","107340.64","108488.41","127918.67","127232.96","131340.2","141560.08","132737.88","150800.19","161074.72"
"All Multilateral Recipients, Total","","..","..","..","..","..","..","..","..","692.79","1380","1290.77","1240.62","2602.58","2046.81","3445.49","4170.93","4524.97","5745.43","7154.96","6683.25","9423.62","7534.29","9756.27","9299.85","9385.61","7814.72","10991.55","12037.18","15056.78","13133.18","16126.09","15951.93","20384.78","17764.42","18763.56","19336.05","17022.93","16455.43","17205.31","15905.56","18509.42","18023.38","18065.25","20340.41","26244.75","26183.69","28712.31","31801.28","36411.02","37624.85","39256.86","41670.7","40016.65","42843.46","43924.5"
"Afghanistan","","17.18","34.67","16.93","36.67","46.17","53.93","50.36","40.6","29.24","27.25","27.61","44.44","55.18","55.95","49.18","69.45","71.43","85.61","82.52","105.47","33.01","23.91","9.33","13.28","6.5","16.32","1.91","45.28","72.36","148.32","121.72","507.53","204.9","223.8","226.42","212.53","169.63","230.75","164.2","142.86","136.01","410.36","1309.77","1593.67","2311.49","2837.62","2961.67","4964.72","4875.67","6235.4","6471.94","6865.89","6666.89","5262.38","4823.29"
"Albania","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","5.56","10.34","11.05","331.95","409.64","270.68","163.1","180.6","226.55","168.11","268.62","488.15","317.85","268.53","307.42","354.5","299.95","319.14","321.78","307.19","363.27","356.96","364.19","380.98","350.29","269.4","280.05"
"Algeria","","355.05","437.91","397.63","281.91","227.84","146.23","126.92","107.64","119.61","131.23","122.21","120.99","110.3","125.09","128.33","235.27","145.37","129.15","190.29","110.84","205.16","167.07","134.7","93.28","120.98","172.15","167.33","213.45","171.98","158.21","331.65","211.17","372.46","324.47","293.65","293.9","305.04","247.81","419.73","137.83","199.62","198.68","189.96","238.12","316.2","346.61","239.91","394.3","325.05","317.51","198.36","190.65","144.5","200.67","157.67"
"Angola","","-0.05","23.55","..","0.03","..","1.11","2.86","18.18","0.01","-0.11","-0.03","0","0.09","0.16","0.37","4.76","17.48","47.5","46.87","47.06","52.44","60.22","59.07","73.88","93.41","90.49","130.25","134.43","157.03","167.06","265.77","277.08","343.59","289.39","447.07","416.42","459.31","354.66","335.27","387.54","302.21","282.73","414.03","493.73","1144.46","414.57","163.52","247.67","368.82","238.71","236.94","192.75","241.4","282.71","231.28"
"Anguilla","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","1.67","1.1","1.11","2.34","2.25","2.3","2.63","1.95","2.34","1.71","2.65","2.97","4.09","3.94","6.46","3.82","6.29","4.76","4.7","6.55","3.36","2.56","2.57","3.05","2.4","3.52","3.54","0.73","3.95","2.69","4.01","4.42","5.27","3.35","1.4","8.27","0.3","5.04","7.63",".."
"Antigua and Barbuda","","..","..","..","..","..","..","..","..","..","..","..","..","..","0.01","3","2.06","3.11","5.38","3.6","3.28","5.5","9.04","4.95","3.37","2.36","2.95","5.05","5.56","8.45","4.34","4.61","7.23","4.67","3","4.16","2.27","3.87","4.3","9.88","10.74","9.79","8.54","13.47","6.16","1.63","7.79","3.28","7.38","8.75","5.64","19.07","15.35","2.35","1.82","2.08"
"Argentina","","28.58","29.18","39.8","37.8","17.22","-62.2","-9.69","21.69","40.72","25.48","9.34","27.71","23.32","45.66","35.92","26.31","30.57","27.92","28.16","42.98","19.48","43.56","29.74","47","48.49","39.02","85.86","99.33","152.6","210.7","168.74","273.68","263.88","226.24","146.22","142.56","130.78","102.01","79.06","76.56","52.49","145.56","81.52","106.64","91.34","96.18","115.08","101.34","130.58","126.73","121.04","88.7","179.5","32.5","49.19"
"Armenia","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","2.72","22.45","109.46","191.27","217.59","292.16","166.1","194.2","209.18","215.89","211.63","299.59","253.8","253.41","170.34","215.51","350.02","302.64","525.98","342.27","396.94","271.16","278.96","265.34"
"Aruba","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","12.04","40.43","20.91","19.29","24.33","29.98","24.97","29.98","24.86","18.26","25.8","19.53","25.07","11.26","-7.38","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Azerbaijan","","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.3","7.43","23.87","149.04","119.54","96.36","184.06","120.25","169.42","139.12","229.76","349.31","300.7","175.76","216.51","206.39","225.21","235.15","231.79","160.14","286.59","284.6","-73.37","215.18"
